accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall,learning_rate
0.715989887714386,0.7497370839118958,0.12474717944860458,1.4204521179199219,0.44738444685935974,0.6140616536140442,0.751833975315094,0.5,0.0,8.422270774841309,0.0,0.0,9.999999747378752e-05
0.8148738145828247,0.8660420775413513,0.11288297921419144,0.8598964214324951,0.6073789596557617,0.7184279561042786,0.7925742864608765,0.7678282260894775,0.05016418173909187,0.9508838057518005,0.6926994919776917,0.29506418108940125,9.999999747378752e-05
0.8245989680290222,0.8786177039146423,0.11283702403306961,0.6982148885726929,0.6245487928390503,0.7351518869400024,0.751833975315094,0.5336147546768188,0.0,3.5656015872955322,0.0,0.0,9.999999747378752e-05
0.8292092084884644,0.8829643130302429,0.11319498717784882,0.6357958912849426,0.6322367787361145,0.7453444004058838,0.24904094636440277,0.7992995977401733,0.24806663393974304,3.5982160568237305,0.2483833283185959,1.0,9.999999747378752e-05
0.8321256041526794,0.8869724869728088,0.11329058557748795,0.6025167107582092,0.6373158097267151,0.7508136034011841,0.791003942489624,0.872603714466095,0.024411331862211227,1.2358530759811401,0.9250243306159973,0.17175917327404022,9.999999747378752e-05
0.8328771591186523,0.888738214969635,0.11329490691423416,0.5854526162147522,0.638664960861206,0.7520565986633301,0.2481660097837448,0.5,0.2481660097837448,12.048315048217773,0.2481660097837448,1.0,9.999999747378752e-05
0.8339652419090271,0.8901089429855347,0.11356295645236969,0.5753251314163208,0.6400803327560425,0.7561245560646057,0.7765563726425171,0.8112698793411255,0.01479360181838274,1.0157414674758911,0.9516393542289734,0.10495389252901077,9.999999747378752e-05
0.8353617787361145,0.8911362290382385,0.11397724598646164,0.5680102109909058,0.6421114802360535,0.7603959441184998,0.8471340537071228,0.915607750415802,0.12134705483913422,0.5111829042434692,0.6575199961662292,0.8014825582504272,9.999999747378752e-05
0.8360852599143982,0.8926143050193787,0.11375545710325241,0.5615522265434265,0.6436961889266968,0.7603959441184998,0.7651374340057373,0.8309208154678345,0.008417517878115177,1.238645076751709,0.9366715550422668,0.05749412253499031,9.999999747378752e-05
0.8429332375526428,0.8997207880020142,0.11315436661243439,0.5396412014961243,0.6568432450294495,0.7686675190925598,0.8242961168289185,0.908097505569458,0.13335487246513367,0.5922001004219055,0.6048429012298584,0.8422527313232422,4.999999873689376e-05
0.8448120951652527,0.9011493921279907,0.11333927512168884,0.5313207507133484,0.6603784561157227,0.7713568806648254,0.2481660097837448,0.5,0.2481660097837448,12.026748657226562,0.2481660097837448,1.0,4.999999873689376e-05
0.8456758260726929,0.9027994275093079,0.1134849414229393,0.5254170298576355,0.6615369915962219,0.774294912815094,0.2481660097837448,0.5,0.2481660097837448,10.141717910766602,0.2481660097837448,1.0,4.999999873689376e-05
0.8476836681365967,0.9021257162094116,0.11262689530849457,0.5255650281906128,0.6669532060623169,0.7714698910713196,0.2481660097837448,0.5,0.2481660097837448,10.8505277633667,0.2481660097837448,1.0,4.999999873689376e-05
0.8481435775756836,0.9033350348472595,0.11258094012737274,0.5219599604606628,0.6679840087890625,0.7716054916381836,0.2481660097837448,0.5,0.2481660097837448,12.023794174194336,0.2481660097837448,1.0,4.999999873689376e-05
0.8540045022964478,0.9079572558403015,0.11205785721540451,0.508790910243988,0.6797080039978027,0.7785888910293579,0.2481660097837448,0.5,0.2481660097837448,12.003983497619629,0.2481660097837448,1.0,2.499999936844688e-05
0.8555692434310913,0.9096508622169495,0.11211485415697098,0.5029946565628052,0.6827378869056702,0.7808714509010315,0.2545148730278015,0.9102435111999512,0.2474018931388855,2.262768507003784,0.24971774220466614,0.999728798866272,2.499999936844688e-05
0.8558048009872437,0.9097383618354797,0.1118704304099083,0.5010756254196167,0.6835954785346985,0.7799674272537231,0.2481660097837448,0.5,0.2481660097837448,12.018963813781738,0.2481660097837448,1.0,2.499999936844688e-05
0.8566405177116394,0.9098052978515625,0.11182714253664017,0.5003830194473267,0.6855230927467346,0.7802612781524658,0.2481660097837448,0.5,0.2481660097837448,12.018277168273926,0.2481660097837448,1.0,2.499999936844688e-05
