accuracy,auc,f1_score,loss,precision,recall,val_accuracy,val_auc,val_f1_score,val_loss,val_precision,val_recall,learning_rate
0.6762720346450806,0.5687751770019531,0.07455388456583023,2.658402919769287,0.3121667504310608,0.24050790071487427,0.2433750033378601,0.5003304481506348,0.2433750033378601,5.4748077392578125,0.2433750033378601,1.0,9.999999747378752e-05
0.7500625252723694,0.6511518955230713,0.016314903274178505,1.2319672107696533,0.5151515007019043,0.06985431164503098,0.7566249966621399,0.7037551403045654,0.0,0.8129627704620361,0.0,0.0,9.999999747378752e-05
0.7638750076293945,0.7098217606544495,0.011882985942065716,0.5500991940498352,0.6852086186408997,0.06905338168144226,0.7566249966621399,0.5,0.0,0.9516552090644836,0.0,0.0,9.999999747378752e-05
0.7632187604904175,0.7646059989929199,0.015553724020719528,0.261062353849411,0.7467725872993469,0.09313847124576569,0.7566249966621399,0.5,0.0,0.7967555522918701,0.0,0.0,9.999999747378752e-05
0.7745624780654907,0.7973610162734985,0.0185962226241827,0.15155017375946045,0.8001605272293091,0.12521979212760925,0.7566249966621399,0.5,0.0,0.6495584845542908,0.0,0.0,9.999999747378752e-05
0.782943606376648,0.8142738342285156,0.0215957872569561,0.1155693456530571,0.8004694581031799,0.15206243097782135,0.7567499876022339,0.7722092866897583,6.0606053011724725e-05,0.3172062933444977,1.0,0.0005136106628924608,9.999999747378752e-05
0.792593777179718,0.8318681716918945,0.02775004133582115,0.100059874355793,0.8413537740707397,0.20068113505840302,0.7566249966621399,0.5,0.0,0.6363784074783325,0.0,0.0,9.999999747378752e-05
0.7997562289237976,0.8466492891311646,0.03047158569097519,0.08860999345779419,0.8442857265472412,0.22577358782291412,0.2433750033378601,0.5,0.2433750033378601,5.37642240524292,0.2433750033378601,1.0,9.999999747378752e-05
0.8029687404632568,0.8534080386161804,0.034141574054956436,0.08476043492555618,0.8641070127487183,0.25059425830841064,0.2433750033378601,0.5,0.2433750033378601,9.059616088867188,0.2433750033378601,1.0,9.999999747378752e-05
0.8089062571525574,0.8604561686515808,0.0374668724834919,0.08121082186698914,0.850676953792572,0.277371346950531,0.7567499876022339,0.8723173141479492,6.0606053011724725e-05,0.18669649958610535,1.0,0.0005136106628924608,9.999999747378752e-05
0.8156562447547913,0.8649873733520508,0.0405912920832634,0.07894923537969589,0.8731637597084045,0.3053119480609894,0.2433750033378601,0.5,0.2433750033378601,9.05664348602295,0.2433750033378601,1.0,9.999999747378752e-05
